id,price,property_type,room_type,availability_365,calculated_host_listings_count,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,reviews_per_month,neighbourhood_cleansed,latitude,longitude
1030948933127251948,,Private room in home,Private room,270,8,within an hour,100,0,,,Élysée,48.87155,2.30102
1030815771836131955,,Private room in rental unit,Private room,177,8,within an hour,100,0,,,Élysée,48.87191029383148,2.299589322508599
1029117835809026377,,Entire rental unit,Entire home/apt,0,184,within an hour,100,23,4.52,1.06,Élysée,48.8747036,2.2990709
1031252878520984970,,Entire rental unit,Entire home/apt,130,1,within a few hours,100,39,5.0,2.17,Élysée,48.87279,2.32347
1033352030577062675,,Entire rental unit,Entire home/apt,318,77,within a day,100,1,5.0,0.21,Élysée,48.8751685,2.3191241
1031664089096073526,,Entire rental unit,Entire home/apt,0,13,within an hour,100,2,5.0,0.15,Élysée,48.87619609999999,2.3023011
1034147641714789605,,Entire rental unit,Entire home/apt,364,1,,,0,,,Élysée,48.87176,2.30888
1031766085924064083,,Entire rental unit,Entire home/apt,351,1,within a few hours,100,0,,,Élysée,48.8807026,2.3177718
1033415189760723761,,Entire rental unit,Entire home/apt,364,1,,,0,,,Élysée,48.86958,2.32107
1034524563813498795,,Entire rental unit,Entire home/apt,336,3,within an hour,100,2,5.0,0.36,Élysée,48.87702,2.30158
1034596285332768623,,Entire rental unit,Entire home/apt,87,1,,,3,5.0,0.17,Élysée,48.8794754,2.3188845
1034610323502867679,,Entire rental unit,Entire home/apt,139,102,within an hour,100,2,4.0,0.14,Élysée,48.8734,2.3
1034623474259913011,,Entire rental unit,Entire home/apt,240,3,within an hour,100,6,5.0,0.37,Élysée,48.87617,2.30305
1034726446352230360,,Entire rental unit,Entire home/apt,266,3,within an hour,100,7,5.0,0.36,Élysée,48.876047371394414,2.3015703473830658
1032641348296998047,,Entire rental unit,Entire home/apt,329,184,within an hour,100,56,4.86,2.6,Élysée,48.86918,2.30503
1034745763294719104,,Entire rental unit,Entire home/apt,292,121,within an hour,100,21,4.0,1.01,Élysée,48.87796,2.30114
1034077814080223978,,Entire rental unit,Entire home/apt,351,184,within an hour,100,48,4.83,2.23,Élysée,48.87696,2.30027
1035313527546805315,,Entire rental unit,Entire home/apt,329,6,within an hour,94,28,4.79,1.3,Élysée,48.88117,2.31867
